_id,FISCAL_YEAR,CAR_CHC_ID,REFERENCE_NUMBER,SELECTION_PROCESS_NUMBER,CREATION_DATE,OPEN_DATE,CLOSE_DATE,DAYS_TO_OPEN,NUMBER_DAYS_OPEN,INTERNAL_INDICATOR,EXTERNAL_INDICATOR,POSITION_TITLE_E,POSITION_TITLE_F,CLASSIFICATIONS,CLASSIFICATION_COUNT,PSC_ADMIN,NATIONAL,EE_ORGANIZ_GENDER,EE_ORGANIZ_VISMIN,SCRNG_TOOL_OFFICIAL_LANGUAGE,SCRNG_TOOL_SCREENING_QUESTIONS,SCRNG_TOOL_TEXT_QUESTIONS,SCRNG_TOOL_EXP_QUESTIONNAIRE,SCRNG_TOOL_UIT,SCRNG_TOOL_EDUCATION,INDETERMINATE,SPECIFIED_TERM,ACTING,ASSIGNMENT,DEPLOYMENT,SECONDMENT,VARIOUS_WORK_LOCATION,PROV_CNT,CAF_SUBMITTED,CAF_IN,CAF_OUT,NOC,NAPA,NAA,administrator_region_e,administrator_region_f,advertisement_type_e,advertisement_type_f,city_count,city_name_e,city_name_f,organization_e,organization_f,organization_code,advertisement_url_e,advertisement_url_f,recruitment_program_e,recruitment_program_f,province_name_e,province_name_f,psea_e,psea_f,source_system_e,source_system_f,status_e,status_f,ee_criterion_gender,ee_criterion_indigenous,ee_criterion_vismin,ee_criterion_pwd,ee_organiz_pwd,ee_organiz_indigenous,TOTAL_SUBMITTED_SUP,TOTAL_IN_SUP,TOTAL_OUT_SUP,SCRNG_TOOL_OCC_CERT,women_submitted_SUP,vismin_submitted_SUP,indigenous_submitted_SUP,pwd_submitted_SUP,french_submitted_SUP,english_submitted_SUP,citizen_submitted_SUP,permanent_resident_submitted_SUP,ee_submitted_SUP
301,2023-2024,1876247,PEN22J-065396-000010,2022-PEN-IA-NAT-177213,01NOV2022,16NOV2022,15NOV2024,14,730,1,0,"Site Supervisor and Construction Supervisor, CORCAN","Superviseur de chantier et Superviseur de construction, CORCAN","GLCOI10,GLCOI12",2,0, ,1,1,1,1, , , , ,1,1,1,1,1, ,1,8,0,0,0, , , ,Atlantic,Atlantique,Inventory Advertisement,Affiche de repertoire,18,MULTIPLE,MULTIPLE,Correctional Service Canada,Service correctionnel Canada,PEN,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1876247&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1876247&toggleLanguage=fr,INT,INT,MULTIPLE,MULTIPLE,YES,OUI,PSRS,SRFP,Open,Ouvert,0,0,0,0,1,1,10,9,*, ,*,*,*,*,*,*,10,*,
302,2023-2024,1876610,DOE22J-010515-001075,22-DOE-QUE-IA-430662,01NOV2022,07JUN2023,27JUN2023,217,20,1,0,Physical Sciences Specialist - Radar Specialist,"Spécialiste, sciences physiques - Spécialiste radar",PC03,1,0, ,1,1,1, , , , , ,1,1,1,1,1, ,1,8,1,1, , , , ,Quebec,Québec,Regular Advertisement,Affiche regulier,13,MULTIPLE,MULTIPLE,Environment and Climate Change Canada,Environnement et Changement climatique Canada,DOE,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1876610&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1876610&toggleLanguage=fr,INT,INT,MULTIPLE,MULTIPLE,YES,OUI,PSRS,SRFP,Closed,Fermé,0,0,0,0,1,1,11,11,*, ,5,5,*,*,*,*,10,*,9
303,2023-2024,1876843,DOE22J-010515-001076,22-DOE-QUE-IA-430628,01NOV2022,07JUN2023,27JUN2023,217,20,1,0,Physical Sciences Specialist - Data specialist,"Spécialiste, sciences physiques - Spécialiste en données",PC03,1,0, ,1,1,1, , , , , ,1,1,1,1,1, ,1,8,1,1, , , , ,Quebec,Québec,Regular Advertisement,Affiche regulier,13,MULTIPLE,MULTIPLE,Environment and Climate Change Canada,Environnement et Changement climatique Canada,DOE,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1876843&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1876843&toggleLanguage=fr,INT,INT,MULTIPLE,MULTIPLE,YES,OUI,PSRS,SRFP,Closed,Fermé,0,0,0,0,1,1,55,55,*, ,12,24,*,*,21,34,51,*,31
304,2023-2024,1876882,DOE22J-010515-001077,22-DOE-QUE-IA-430626,01NOV2022,07JUN2023,27JUN2023,217,20,1,0,Physical Sciences Specialist,"Spécialiste, sciences physiques",PC03,1,0, ,1,1,1, , , , , ,1,1,1,1,1, ,1,8,1,1, , , , ,Quebec,Québec,Regular Advertisement,Affiche regulier,12,MULTIPLE,MULTIPLE,Environment and Climate Change Canada,Environnement et Changement climatique Canada,DOE,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1876882&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1876882&toggleLanguage=fr,INT,INT,MULTIPLE,MULTIPLE,YES,OUI,PSRS,SRFP,Closed,Fermé,0,0,0,0,1,1,76,76,*, ,24,29,*,*,29,47,68,*,47
305,2023-2024,1877778,DIS22J-022164-000376,23-DIS-MB-EA-569689,02NOV2022,30JAN2023,30JAN2024,88,365,0,1,General Duty Nurse,Infirmier/Infirmière de soins généraux,NUHOS02,1,0,1,0,0,1,1, , , , ,1,1, , , , ,0,1,0,0,0, , , ,Central Prairies and Nunavut,Prairies centrales et Nunavut,Inventory Advertisement,Affiche de repertoire,1,Norway House,Norway House,Indigenous Services Canada,Services aux Autochtones Canada,DIS,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1877778&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1877778&toggleLanguage=fr,JOP,POP,Manitoba,Manitoba,YES,OUI,PSRS,SRFP,Open,Ouvert,0,0,0,0,0,0,9,7,*, ,*,*,*,*,*,*,*,*,6
306,2023-2024,1878325,SVC22J-021991-000059,2022-SVC-WST-EA-559441,03NOV2022,15NOV2022,15NOV2023,11,365,0,1,Electrical Engineer (EN ENG-04) - Inventory,Ingénieur électricien (EN ENG-04) - Répertoire,ENENG04,1,0,1,1,1,1,1, , , , ,1,1, , , , ,1,3,0,0,0, , , ,Alberta and Northwest Territories,Alberta et Territoires du Nord-Ouest,Inventory Advertisement,Affiche de repertoire,4,MULTIPLE,MULTIPLE,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,SVC,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1878325&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1878325&toggleLanguage=fr,JOP,POP,MULTIPLE,MULTIPLE,YES,OUI,PSRS,SRFP,Open,Ouvert,0,0,0,0,1,1,44,12,32, ,*,16,*,*,*,*,18,*,17
307,2023-2024,1878657,DFO22J-014874-000812,22-DFO-CEN-CCG-IA-560046,03NOV2022,25NOV2022,24NOV2023,21,364,1,0,INVENTORY - Various Senior Agent/Analyst positions,RÉPERTOIRE - Postes variés dagent(e)/analyste principal(e),AS04,1,0, ,1,1,1,1, , , , ,1,1,1,1,1, ,1,2,3,1,2, , , ,Quebec,Québec,Inventory Advertisement,Affiche de repertoire,3,MULTIPLE,MULTIPLE,Fisheries and Oceans Canada,Peches et Oceans Canada,DFO,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1878657&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1878657&toggleLanguage=fr,INT,INT,MULTIPLE,MULTIPLE,YES,OUI,PSRS,SRFP,Open,Ouvert,0,0,0,0,1,1,31,23,8, ,13,14,*,*,19,12,28,*,23
308,2023-2024,1879110,CSD22J-050296-000143,2022-CSD-EA-NHQ-0160348,04NOV2022,10NOV2022,17APR2023,5,158,0,1,STREAM 1: Team Leader  IT Security STREAM 2: Technical Advisor  IT Security,VOLET 1 : Chef d'équipe  Sécurité des TI VOLET 2 : Conseiller(ère) technique  Sécurité des TI,IT03,1,0,1,1,1,1,1, , , , ,1,1, , , , ,1,0,0,0, , , , ,National Capital,Capitale Nationale,Inventory Advertisement,Affiche de repertoire,0,NA,S. O.,Employment and Social Development Canada,Emploi et Developpement social Canada,CSD,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1879110&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1879110&toggleLanguage=fr,JOP,POP,NA,S. O.,YES,OUI,PSRS,SRFP,Closed,Fermé,0,0,0,0,1,1,40,40,*, ,5,19,*,*,7,33,28,*,23
309,2023-2024,1879368,CSD22J-016249-001947,2022-CSD-EA-NHQ-0171404,04NOV2022,10NOV2022,17APR2023,5,158,0,1,STREAM 1: Manager  IT Security STREAM 2: Senior Advisor  IT Security,VOLET 1 : Gestionnaire  Sécurité des TI VOLET 2 : Conseiller(ère) principal(e)  Sécurité des TI,IT04,1,0,1,1,1,1,1, , , , ,1,1, , , , ,1,0,0,0, , , , ,Atlantic,Atlantique,Inventory Advertisement,Affiche de repertoire,0,NA,S. O.,Employment and Social Development Canada,Emploi et Developpement social Canada,CSD,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1879368&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1879368&toggleLanguage=fr,JOP,POP,NA,S. O.,YES,OUI,PSRS,SRFP,Closed,Fermé,0,0,0,0,1,1,50,50,*, ,11,30,*,*,12,38,34,*,35
310,2023-2024,1879873,BSF22J-076295-000002,2022-IA-PRA-FB_04-854,07NOV2022,07DEC2022,31DEC2023,29,389,1,0,Inventory-Senior Officer Trade Compliance (Bilingual / English Essential),"Inventaire-Agent principal,observation des échanges commerciaux (Bilingue/Anglais essentiel)",FB04,1,0, ,0,0,1,1, , , , ,1,1,1,1,1, ,1,2,1,0,1, , , ,Central Prairies and Nunavut,Prairies centrales et Nunavut,Inventory Advertisement,Affiche de repertoire,2,MULTIPLE,MULTIPLE,Canada Border Services Agency,Agence des services frontaliers du Canada,BSF,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1879873&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1879873&toggleLanguage=fr,INT,INT,MULTIPLE,MULTIPLE,YES,OUI,PSRS,SRFP,Open,Ouvert,0,0,0,0,0,0,71,63,8, ,37,34,*,8,13,58,64,*,59
311,2023-2024,1880080,SVC22J-045896-000068,2022-SVC-WST-EA-559855,07NOV2022,16NOV2022,16NOV2023,8,365,0,1,Design Manager (Architect) Inventory,Gestionnaire de la conception (architecte),AR05,1,0,1,0,0,1,1, , , , ,1,1, , , , ,1,3,0,0,0, , , ,Alberta and Northwest Territories,Alberta et Territoires du Nord-Ouest,Inventory Advertisement,Affiche de repertoire,4,MULTIPLE,MULTIPLE,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,SVC,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1880080&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1880080&toggleLanguage=fr,JOP,POP,MULTIPLE,MULTIPLE,YES,OUI,PSRS,SRFP,Open,Ouvert,0,0,0,0,0,0,9,7,*, ,*,*,*,*,*,*,5,*,
312,2023-2024,1880173,AHS22J-020895-000075,22-AHS-NMLB-EA-NCR-347354,07NOV2022,16NOV2022,31AUG2023,8,288,0,1,Professional Trades/Technicians Inventory,Répertoire des métiers ou techniciens et ingénieurs professionnels,"EG04,EG05,EG06",3,0,1,0,0,1,1, , , , ,1,1, , , , ,1,2,0,0, , , , ,Central Prairies and Nunavut,Prairies centrales et Nunavut,Inventory Advertisement,Affiche de repertoire,2,MULTIPLE,MULTIPLE,Public Health Agency of Canada,Agence de la sante publique du Canada,AHS,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1880173&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1880173&toggleLanguage=fr,JOP,POP,MULTIPLE,MULTIPLE,YES,OUI,PSRS,SRFP,Open,Ouvert,0,0,0,0,0,0,40,40,*, ,7,10,*,*,6,34,30,*,15
313,2023-2024,1880813,PEN22J-019789-000035,2022-PEN-EA-NAT-177413,08NOV2022,15DEC2022,19SEP2023,36,278,0,1,Correctional Officer I - Port-Cartier Institution,Agent(e) correctionnel(le) I - Établissement Port-Cartier,CX01,1,0,1,0,0,1,1, , , , ,1, , , , , ,0,1,0,0, , , , ,National Capital,Capitale Nationale,Inventory Advertisement,Affiche de repertoire,1,Port-Cartier,Port-Cartier,Correctional Service Canada,Service correctionnel Canada,PEN,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1880813&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1880813&toggleLanguage=fr,JOP,POP,Quebec,Québec,YES,OUI,PSRS,SRFP,Open,Ouvert,0,0,0,0,0,0,185,185,*, ,44,59,5,6,126,59,123,*,99
314,2023-2024,1881168,DIS22J-044696-000102,22-DIS-AB-EA-FNIH-560603,08NOV2022,29DEC2022,29DEC2023,50,365,0,1,Various Administrative Positions,Divers postes administratifs,CR04,1,0,1,0,0,1,1, , , , ,1,1, , , , ,0,1,0,0,0, , , ,Alberta and Northwest Territories,Alberta et Territoires du Nord-Ouest,Inventory Advertisement,Affiche de repertoire,1,Edmonton,Edmonton,Indigenous Services Canada,Services aux Autochtones Canada,DIS,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1881168&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1881168&toggleLanguage=fr,JOP,POP,Alberta,Alberta,YES,OUI,PSRS,SRFP,Open,Ouvert,0,0,0,0,0,0,70,64,6, ,44,28,8,*,5,65,42,*,55
315,2023-2024,1881753,DFO22J-021284-000481,22-DFO-NCR-EA-562061,09NOV2022,28NOV2022,28NOV2023,18,365,0,1,"INVENTORY: IT Technician, Infrastructure Operations","RÉPERTOIRE: Technicien en TI, Opérations dinfrastructure",IT01,1,0,1,0,0,1,1, , , , ,1,1, , , , ,1,7,0,0,0, , , ,National Capital,Capitale Nationale,Inventory Advertisement,Affiche de repertoire,15,MULTIPLE,MULTIPLE,Fisheries and Oceans Canada,Peches et Oceans Canada,DFO,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1881753&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1881753&toggleLanguage=fr,JOP,POP,MULTIPLE,MULTIPLE,YES,OUI,PSRS,SRFP,Open,Ouvert,0,0,0,0,0,0,309,300,9, ,36,104,5,15,66,243,183,*,137
316,2023-2024,1881786,DND22J-019524-000010,22-DND-NAST-EA-496222-1,09NOV2022,09NOV2022,03NOV2023,0,359,0,1,Seeking Restorative Practitioners,À la recherche de Praticiens en démarches réparatrices,"WP04,WP05",2,0,1,1,1,1,1, , , , , ,1, , , , ,1,9,0,0,0, , , ,Alberta and Northwest Territories,Alberta et Territoires du Nord-Ouest,Inventory Advertisement,Affiche de repertoire,47,MULTIPLE,MULTIPLE,National Defence,Defense nationale,DND,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1881786&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1881786&toggleLanguage=fr,JOP,POP,MULTIPLE,MULTIPLE,YES,OUI,PSRS,SRFP,Open,Ouvert,0,0,0,0,1,1,297,212,85, ,221,56,18,38,49,248,275,*,247
317,2023-2024,1882091,RCM22J-020663-000272,22-RCM-EA-K-EDM-CSW-CRS-112636,09NOV2022,09MAY2023,23MAY2023,180,14,0,1,Division Crime Reduction Partnership Coordinator,Coordonnateur ou coordonnatrice divisionnaire des partenariats pour la réduction de la criminalité.,PM05,1,0,1,0,0,1,1, , , , ,1,1, , , , ,0,1,0,0,0, , , ,Alberta and Northwest Territories,Alberta et Territoires du Nord-Ouest,Regular Advertisement,Affiche regulier,1,Edmonton,Edmonton,Royal Canadian Mounted Police,Gendarmerie royale du Canada,RCM,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1882091&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1882091&toggleLanguage=fr,JOP,POP,Alberta,Alberta,YES,OUI,PSRS,SRFP,Closed,Fermé,0,0,0,0,0,0,62,36,26, ,33,23,*,10,*,*,50,*,45
318,2023-2024,1882231,DIS22J-022918-000011,22-DIS-NCR-EA-430565-A,10NOV2022,11NOV2022,12JUL2024,0,609,0,1,Junior Program Officer - Jordan's Principle - Inventory,Agent/agente de programme subalterne - Principe de Jordan - Répertoire,PM02,1,0,1,0,0,1,1, , , , ,1, , , , , ,1,9,0,0,0, , , ,National Capital,Capitale Nationale,Inventory Advertisement,Affiche de repertoire,10,MULTIPLE,MULTIPLE,Indigenous Services Canada,Services aux Autochtones Canada,DIS,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1882231&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1882231&toggleLanguage=fr,JOP,POP,MULTIPLE,MULTIPLE,YES,OUI,PSRS,SRFP,Open,Ouvert,0,0,0,0,0,0,272,227,45, ,185,82,60,35,44,228,241,*,240
319,2023-2024,1882232,DIS22J-022918-000012,22-DIS-NCR-EA-435146-A,10NOV2022,11NOV2022,01SEP2024,0,660,0,1,Supervisor / Policy and Program Officer / Team Leader / Project Leader,Superviseur / Agent principal de programme / Agent principal de projet / Chef d'équipe,PM04,1,0,1,0,0,1,1, , , , ,1, , , , , ,1,9,0,0,0, , , ,National Capital,Capitale Nationale,Inventory Advertisement,Affiche de repertoire,10,MULTIPLE,MULTIPLE,Indigenous Services Canada,Services aux Autochtones Canada,DIS,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1882232&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1882232&toggleLanguage=fr,JOP,POP,MULTIPLE,MULTIPLE,YES,OUI,PSRS,SRFP,Open,Ouvert,0,0,0,0,0,0,463,296,167, ,285,169,65,51,105,358,373,*,384
320,2023-2024,1882493,SVC22J-044795-000063,2022-SVC-QUE-EA-560815,10NOV2022,06DEC2022,31MAR2024,25,481,0,1,"Senior Environmental, Industrial Hygiene or Sustainability Specialist","Spécialiste principal(e) en environnement, en hygiène industrielle ou en durabilité",PC03,1,0,1,0,0,1,1, , , , ,1,1, , , , ,1,1,0,0,0, , , ,Quebec,Québec,Inventory Advertisement,Affiche de repertoire,3,MULTIPLE,MULTIPLE,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,SVC,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1882493&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1882493&toggleLanguage=fr,JOP,POP,Quebec,Québec,YES,OUI,PSRS,SRFP,Open,Ouvert,0,0,0,0,0,0,69,57,12, ,29,25,*,*,45,24,31,*,46
321,2023-2024,1882869,SVC22J-009507-000441,2022-SVC-ONT-EA-560971,10NOV2022,23NOV2022,07DEC2023,12,379,0,1,Administrative Officer,Agent(e) Administratif,AS01,1,0,1,1,1,1,1, , , , ,1,1, , , , ,1,1,0,0,0, , , ,Ontario,Ontario,Inventory Advertisement,Affiche de repertoire,3,MULTIPLE,MULTIPLE,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,SVC,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1882869&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1882869&toggleLanguage=fr,JOP,POP,Ontario,Ontario,YES,OUI,PSRS,SRFP,Open,Ouvert,0,0,0,0,1,1,520,477,43, ,319,223,6,32,16,504,361,*,412
322,2023-2024,1883114,DOE22J-014186-000950,22-DOE-QUE-EA-560077,14NOV2022,28DEC2022,27DEC2024,43,730,0,1,"IT Team Leader, IT Business Line Advisory Services","Chef d'équipe de la TI, Services consultatifs auprès des secteurs d'activité de la TI",IT03,1,0,1,1,1,1,1, , , , ,1,1, , , , ,1,0,0,0,0, , , ,Central Prairies and Nunavut,Prairies centrales et Nunavut,Inventory Advertisement,Affiche de repertoire,0,NA,S. O.,Environment and Climate Change Canada,Environnement et Changement climatique Canada,DOE,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1883114&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1883114&toggleLanguage=fr,JOP,POP,NA,S. O.,YES,OUI,PSRS,SRFP,Open,Ouvert,0,0,0,0,1,1,115,96,19, ,33,49,5,7,29,86,88,*,77
323,2023-2024,1883519,CSD22J-051897-000115,2022-CSD-EA-NHQ-0161453,14NOV2022,22DEC2022,22DEC2023,37,365,0,1,Various IM/IT Team Leader Positions,Divers postes de Chef d'équipe en GI/TI,IT03,1,0,1,1,1,1,1, , , , ,1,1, , , , ,1,0,0,0,0, , , ,Atlantic,Atlantique,Inventory Advertisement,Affiche de repertoire,0,NA,S. O.,Employment and Social Development Canada,Emploi et Developpement social Canada,CSD,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1883519&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1883519&toggleLanguage=fr,JOP,POP,NA,S. O.,YES,OUI,PSRS,SRFP,Open,Ouvert,0,0,0,0,1,1,84,71,13, ,19,21,*,10,41,43,74,*,43
324,2023-2024,1884186,IAN22J-011197-000063,22-IAN-NCR-IA-562005,15NOV2022,20NOV2022,31MAR2023,4,131,1,0,Are you qualified in a pool or looking for a deployment? Come work with us at CIRNAC!,Êtes-vous qualifié dans un bassin ou à la recherche d'une mutation? Joingnez-vous à nous à RCAANC!,"AS01,AS02,AS03,AS04,AS05,AS06,AS07,PM02,PM03,PM04,PM05,PM06",12,0, ,0,0,1,1, , , , , , ,1,1,1, ,1,2,0,0, , , , ,National Capital,Capitale Nationale,Inventory Advertisement,Affiche de repertoire,2,MULTIPLE,MULTIPLE,Crown-Indigenous Relations and Northern Affairs Canada,Relations Couronne-Autochtones et Affaires du Nord Canada,IAN,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1884186&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1884186&toggleLanguage=fr,INT,INT,MULTIPLE,MULTIPLE,YES,OUI,PSRS,SRFP,Closed,Fermé,0,0,0,0,0,0,7,7,*, ,*,6,*,*,*,*,7,*,7
325,2023-2024,1884204,DFO22J-023629-000201,22-DFO-CEN-EA-561156,15NOV2022,18NOV2022,14JUN2023,2,208,0,1,Operational Analyst and Regional Project Manager,Analyste Opérationnel et de Gestionnaire de Projet Régional,"GT06,PM05",2,0,1,0,0,1, , , , , ,1,1, , , , ,1,2,0,0, , , , ,Ontario,Ontario,Inventory Advertisement,Affiche de repertoire,3,MULTIPLE,MULTIPLE,Fisheries and Oceans Canada,Peches et Oceans Canada,DFO,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1884204&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1884204&toggleLanguage=fr,JOP,POP,MULTIPLE,MULTIPLE,YES,OUI,PSRS,SRFP,Closed,Fermé,0,0,0,0,0,0,210,210,*, ,93,81,*,20,94,116,160,*,144
326,2023-2024,1884504,DFO22J-062896-000024,22-DFO-GLF-EA-561351,15NOV2022,24NOV2022,04AUG2024,8,619,0,1,Maritime Navigation Instructor,Instructeur de navigation maritime,SOINS01,1,0,1,1,1,1,1, , , , ,1,1, , , , ,0,1,0,0,0, , , ,Atlantic,Atlantique,Inventory Advertisement,Affiche de repertoire,1,Sydney,Sydney,Fisheries and Oceans Canada,Peches et Oceans Canada,DFO,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1884504&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1884504&toggleLanguage=fr,JOP,POP,Nova Scotia,Nouvelle-Écosse,YES,OUI,PSRS,SRFP,Open,Ouvert,0,0,0,0,1,1,*,*,*, ,*,*,*,*,*,*,*,*,*
327,2023-2024,1884789,DIS22J-022164-000382,23-DIS-MB-IA-578374,15NOV2022,04APR2023,17APR2023,139,13,1,0,"Senior Program Officer, Program Delivery","Agent principal de programme/agente principale de programme, Prestation des programmes",PM04,1,0, ,0,0,1,1, , , , ,1,1,1,1,1, ,0,1,0,0, , , , ,Central Prairies and Nunavut,Prairies centrales et Nunavut,Regular Advertisement,Affiche regulier,1,Winnipeg,Winnipeg,Indigenous Services Canada,Services aux Autochtones Canada,DIS,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1884789&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1884789&toggleLanguage=fr,INT,INT,Manitoba,Manitoba,YES,OUI,PSRS,SRFP,Closed,Fermé,0,0,0,0,0,0,16,16,*, ,9,8,*,*,*,*,16,*,14
328,2023-2024,1884939,DND22J-077795-000012,22-DND-EA-NAST-497236,16NOV2022,25NOV2022,25MAY2023,8,181,0,1,Electricians (Supervisory & Non-Supervisory),Électriciens/électriciennes (superviseur & non superviseur),"GLEIM10,GLEIM11",2,0,1,0,0,1,1, , , , ,1,1, , , , ,1,0,0,0,0, , , ,Atlantic,Atlantique,Inventory Advertisement,Affiche de repertoire,0,NA,S. O.,National Defence,Defense nationale,DND,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1884939&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1884939&toggleLanguage=fr,JOP,POP,NA,S. O.,YES,OUI,PSRS,SRFP,Closed,Fermé,0,0,0,0,0,0,117,84,33, ,6,12,5,5,28,89,87,*,25
329,2023-2024,1885002,DND22J-077795-000013,22-DND-EA-NAST-497237,16NOV2022,25NOV2022,25MAY2023,8,181,0,1,Trades people wanted!,Gens de métier recherchés !,"GLPIP09,GLPIP10",2,0,1,0,0,1,1, , , , ,1, , , , , ,1,0,0,0,0, , , ,Atlantic,Atlantique,Inventory Advertisement,Affiche de repertoire,0,NA,S. O.,National Defence,Defense nationale,DND,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1885002&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1885002&toggleLanguage=fr,JOP,POP,NA,S. O.,YES,OUI,PSRS,SRFP,Closed,Fermé,0,0,0,0,0,0,77,42,35, ,5,9,*,*,19,58,64,*,14
